MatvareID;Matvare;Vann;Kilojoule;Fett;Kolesterol;Karbohydrat;Kostfiber;Protein;Vitamin A;Vitamin D;Vitamin E;Vitamin C
;;g;kJ;g;mg;g;g;g;RAE;Êg;alfa-TE;mg
10.110;Grytebasis, med spagetti, pulver;6;1440;4;0;64;0;12;0;0;0;0
10.113;Tomatsuppe, pulver;5;1573;8.5;0;63;0;11;0;0;0;0
10.123;Fiskesuppe, Bergensk, pulver;6;1513;8.5;0;52;1;18;0;0;0;0
10.124;Potetmospulver, med melk;7;1457;1.5;2;70.7;6.9;8.5;0;0;0.3;60
10.125;Dip saus, sursõt Barbeque saus;68;408;0.4;0;22.6;0;0.5;0;0;0.2;0
11.001;Morsmelk;87;296;4.1;16;7.2;0;1.3;60;0;0.3;4
12.004;Kjõttbuljong, tilberedt;98;12;0.1;0;0.1;0;0.4;0;0;0;0
12.007;Gjër, pressgjër;70;277;0.4;0;1.1;6.2;11.4;0;0;0;0
12.008;Sennep;63;662;6.4;0;18.5;1.7;5.7;0;0;1.8;0
12.010;Karamellsaus;30;1190;0;0;70;0;0;0;0;0;0
12.011;Sjokoladesaus, kjõpt;28;1138;1.2;0;62;0;2.3;0;0;0;0
12.012;Popcorn, poppet, kjõpt;5;1726;15;0;51.7;11;12;8;0;0;0
12.013;Popcorn, poppet, uten fett;4;1548;4.2;0;62.8;15.1;12;10;0;0.1;0
12.014;Saltstenger;4;1743;8.4;0;71;4.3;11.2;0;0;0.3;0
12.015;Baconcrisp;2;2520;46;0;0.2;0;47.9;0;0;0;0
12.016;Ostepop;2;2113;30;0;44;11;9.8;17;0;0;0
12.017;Tortillachips, maischips;7;2035;25.2;0;56;5.2;6.4;0;0;2.1;0
12.018;Bakepulver;6;666;0;0;34;0;5.2;0;0;0;0
12.022;Salt, bordsalt;1;0;0;0;0;0;0;0;0;0;0
12.023;Mineralsalt;0;0;0;0;0;0;0;0;0;0;0
12.024;Urtesalt;10;197;1.7;0;0.3;0;7.6;0;0;0;0
12.025;Salt, bordsalt, jodert;1;0;0;0;0;0;0;0;0;0;0
12.026;Havsalt;4;0;0;0;0;0;0;0;0;0;0
12.027;Eddik 7%;93;0;0;0;0;0;0;0;0;0;0
12.028;Popcorn, poppet i mikrobõlgeovn;2;1967;22.3;0;50.7;15;9.4;0;0;2.8;0
12.029;Popcorn, poppet i soyaolje;4;1783;14.7;0;55.9;13.4;10.7;9;0;1.2;0
12.030;Potetchips, stekt i peanõttolje;3;2126;29;0;53.8;4.5;6;0;0;2.8;21
12.109;Gjër, tõrrgjër;5;885;1.7;0;3.5;19.7;35.6;0;0;0;0
13.003;Brus, med sitronsmak, med sukker;90;170;0;0;10;0;0;0;0;0;0
13.004;Brus, med sitronsmak, kunstig sõtet, lett;100;0;0;0;0;0;0;0;0;0;0
13.005;Vann, med kullsyre;100;0;0;0;0;0;0;0;0;0;0
13.007;Vin, alkoholfri;95;71;0;0;4;0;0.2;0;0;0;0
13.009;Kaffe, traktet, kokt;99;2;0;0;0;0;0.1;0;0;0;0
13.010;Te, svart;100;2;0;0;0;0;0.1;0;0;0;0
13.011;Brennevin, 60 vol-% alkohol;47;1528;0;0;0;0;0;0;0;0;0
13.012;Brennevin, 40 vol-% alkohol;65;1013;0;0;2.1;0;0;0;0;0;0
13.014;Likõr, 35 vol-% alkohol;43;1309;0;0;27.5;0;0;0;0;0;0
13.015;Hetvin, sõt, 17 vol-% alkohol;75;578;0;0;9.8;0;0.3;0;0;0;0
13.017;Vin, rõdvin, 12 vol-% alkohol;88;309;0;0;0.7;0;0.1;0;0;0;0
13.018;Hetvin, tõrr, 15 vol-% alkohol;82;401;0;0;3;0;0.1;0;0;0;0
13.022;Lettõl, lett, 2,5 vol-% alkohol;94;104;0;0;2.5;0;0.2;0;0;0;0
13.023;Gullõl, 5,7 vol-% alkohol;90;246;0;0;6.1;0;0.5;0;0;0;0
13.024;Pils, 4,7 vol % alkohol;91;171;0;0;3.2;0;0.4;0;0;0;0
13.025;Võrterõl;89;162;0;0;9.1;0;0.4;0;0;0;0
13.026;ùl, alkoholfritt;94;103;0;0;5;0;0.4;0;0;0;0
